Date,TES,MRE,Total Arrivées,Nuité,Taux d'occupation,tangier morocco,casablanca airport,morocco visa
01-2010,291608.0,216485.0,508093,,,44,61,26
01-2011,347822.0,238691.0,586513,1285171.0,,39,57,30
01-2012,305247.0,227783.0,533030,1073849.0,32.0,35,44,28
01-2013,309813.0,240686.0,550499,1220383.0,35.0,45,51,27
01-2014,354493.0,248723.0,603216,1333413.0,,45,50,32
01-2015,329830.0,275000.0,604830,1225147.0,34.0,47,46,34
01-2016,316871.0,273896.0,590767,1210602.0,32.0,57,49,34
01-2017,358608.0,293097.0,651705,1341354.0,34.0,52,59,40
01-2018,431349.0,302999.0,734348,1611117.0,39.0,76,69,46
01-2019,479056.0,312835.0,791891,1593011.0,,63,59,48
01-2021,50534.0,141327.0,191861,408092.0,,28,25,15
01-2022,2774.0,8131.0,10905,301826.0,11.0,31,24,27
01-2023,444408.0,454921.0,899329,1433861.0,40.0,67,61,70
01-2024,494208.0,498333.0,992541,1564864.0,39.0,78,68,80
01-2025,624848.0,640349.0,1265197,1748788.0,44.0,81,86,100
02-2010,327017.0,214346.0,541363,,,42,58,30
02-2011,382407.0,215674.0,598081,1287995.0,,44,66,26
02-2012,339974.0,230028.0,570002,1199252.0,37.0,34,52,25
02-2013,340481.0,210732.0,551213,1184176.0,38.0,39,46,25
02-2014,395875.0,229398.0,625273,1366815.0,,49,48,33
02-2015,369286.0,244977.0,614263,1261998.0,39.0,50,46,30
02-2016,349581.0,259858.0,609439,1259753.0,35.0,58,46,35
02-2017,403694.0,270639.0,674333,1505708.0,40.0,56,59,40
02-2018,481441.0,265455.0,746896,1612767.0,43.0,74,63,46
02-2019,518846.0,284190.0,803036,1687793.0,,60,60,46
02-2021,32686.0,89018.0,121704,406641.0,,25,24,14
02-2022,120051.0,201221.0,321272,682549.0,24.0,40,42,38
02-2023,541643.0,431759.0,973402,1532384.0,47.0,70,64,63
02-2024,642733.0,505266.0,1147999,1668055.0,45.0,74,71,76
02-2025,761377.0,634800.0,1396177,1797178.0,50.0,86,80,85
03-2010,437338.0,234940.0,672278,,,53,66,30
03-2011,407232.0,241264.0,648496,1436477.0,,36,47,24
03-2012,406796.0,235426.0,642222,1306297.0,38.0,41,47,23
03-2013,455991.0,246794.0,702785,1551862.0,43.0,54,52,29
03-2014,471088.0,255671.0,726759,1646762.0,,53,55,31
03-2015,451461.0,275502.0,726963,1503012.0,41.0,50,54,30
03-2016,441745.0,293742.0,735487,1488837.0,39.0,57,51,35
03-2017,476096.0,286466.0,762562,1764321.0,43.0,59,69,40
03-2018,625284.0,301070.0,926354,2012722.0,48.0,77,74,47
03-2019,598406.0,312842.0,911248,2175961.0,,66,74,46
03-2021,36989.0,79401.0,116390,499935.0,,25,25,15
03-2022,241920.0,291852.0,533772,1065782.0,33.0,49,49,45
03-2023,597667.0,452682.0,1050349,1744264.0,47.0,66,70,61
03-2024,691026.0,466481.0,1157507,1687468.0,43.0,76,70,76
03-2025,768739.0,583272.0,1352011,1754640.0,40.0,78,76,90
04-2010,432338.0,232737.0,665075,,,49,97,29
04-2011,500811.0,283161.0,783972,1696037.0,,40,48,27
04-2012,477277.0,296495.0,773772,1675203.0,46.0,50,49,25
04-2013,466638.0,287268.0,753906,1749955.0,48.0,46,52,26
04-2014,553296.0,301739.0,855035,1962531.0,,57,58,31
04-2015,521785.0,299405.0,821190,1780506.0,47.0,47,52,35
04-2016,497266.0,312553.0,809819,1747244.0,44.0,55,48,33
04-2017,586866.0,342106.0,928972,2208685.0,52.0,66,74,43
04-2018,632117.0,334862.0,966979,2322292.0,55.0,75,77,45
04-2019,689215.0,388604.0,1077819,2548282.0,,69,78,45
04-2021,14222.0,15995.0,30217,270213.0,,22,25,16
04-2022,343246.0,243339.0,586585,899267.0,26.0,54,48,50
04-2023,654928.0,461646.0,1116574,1771128.0,44.0,70,63,67
04-2024,754100.0,554558.0,1308658,2055934.0,51.0,80,77,76
04-2025,966724.0,698077.0,1664801,2463774.0,57.0,94,91,85
05-2010,430974.0,241339.0,672313,,,48,86,29
05-2011,381295.0,262433.0,643728,1324788.0,,38,41,24
05-2012,411668.0,249701.0,661369,1470336.0,41.0,47,44,26
05-2013,451501.0,270655.0,722156,1699540.0,46.0,73,51,29
05-2014,480992.0,279261.0,760253,1807977.0,,60,49,30
05-2015,466305.0,297394.0,763699,1692343.0,45.0,47,51,31
05-2016,437433.0,298985.0,736418,1665178.0,42.0,52,52,33
05-2017,469609.0,295680.0,765289,1791639.0,42.0,58,62,36
05-2018,471967.0,269729.0,741696,1705875.0,40.0,60,59,43
05-2019,475117.0,249014.0,724131,1473077.0,,57,65,45
05-2021,21995.0,19013.0,41008,433023.0,,25,25,17
05-2022,436416.0,364763.0,801179,1684479.0,43.0,53,64,50
05-2023,630077.0,495899.0,1125976,1989713.0,51.0,68,78,67
05-2024,767212.0,564022.0,1331234,2267877.0,55.0,78,75,84
05-2025,,,154004,2305539.0,54.0,92,90,86
06-2010,431246.0,461253.0,892499,,,41,50,28
06-2011,424473.0,516809.0,941282,1294143.0,,40,50,26
06-2012,466273.0,487026.0,953299,1465909.0,41.0,46,47,24
06-2013,466513.0,439863.0,906376,1674401.0,46.0,51,51,29
06-2014,456995.0,414124.0,871119,1601789.0,,47,48,30
06-2015,385871.0,395335.0,781206,1202842.0,33.0,47,47,33
06-2016,339307.0,379106.0,718413,982206.0,26.0,52,48,36
06-2017,412933.0,390860.0,803793,1197187.0,29.0,57,50,37
06-2018,520623.0,429914.0,950537,1606122.0,38.0,74,66,46
06-2019,600091.0,492341.0,1092432,2008799.0,,71,84,52
06-2021,100985.0,239980.0,340965,703183.0,,33,46,22
06-2022,520182.0,623431.0,1143613,1674531.0,45.0,56,66,57
06-2023,598308.0,769109.0,1367417,1794690.0,47.0,68,71,64
06-2024,683375.0,820357.0,1503732,1967662.0,48.0,76,74,78
06-2025,,,1665206,1958326.0,48.0,100,100,87
07-2010,509173.0,1139837.0,1649010,,,50,63,28
07-2011,520225.0,1068449.0,1588674,1969759.0,,43,57,24
07-2012,504471.0,811865.0,1316336,1702036.0,42.0,52,46,27
07-2013,495939.0,814978.0,1310917,1368256.0,35.0,56,53,29
07-2014,498176.0,997612.0,1495788,1270630.0,,56,51,32
07-2015,515054.0,1198637.0,1713691,1477294.0,35.0,53,60,35
07-2016,525377.0,1308736.0,1834113,1907322.0,43.0,60,61,34
07-2017,591781.0,1342234.0,1934015,2188170.0,46.0,69,70,41
07-2018,616908.0,1287368.0,1904276,2365739.0,49.0,76,73,44
07-2019,733880.0,1410644.0,2144524,2503862.0,,70,80,49
07-2021,264761.0,712576.0,977337,1314571.0,,36,43,22
07-2022,689139.0,1401567.0,2090706,2184747.0,47.0,61,65,60
07-2023,752207.0,1378778.0,2130985,2144696.0,51.0,77,77,69
07-2024,860187.0,1695181.0,2555368,2260301.0,52.0,78,78,79
08-2010,404345.0,474552.0,878897,,,35,61,27
08-2011,395222.0,401943.0,797165,1315792.0,,39,47,23
08-2012,474003.0,659373.0,1133376,1822884.0,42.0,47,55,28
08-2013,543236.0,987485.0,1530721,2328836.0,54.0,56,52,29
08-2014,514785.0,905769.0,1420554,2532476.0,,52,58,31
08-2015,458999.0,797515.0,1256514,2477886.0,55.0,52,56,34
08-2016,476089.0,809092.0,1285181,2602529.0,55.0,48,55,33
08-2017,526142.0,1031881.0,1558023,2791049.0,55.0,62,71,39
08-2018,595579.0,1146142.0,1741721,2893314.0,57.0,74,74,41
08-2019,662760.0,1059321.0,1722081,3022911.0,,69,80,50
08-2021,188453.0,469074.0,657527,1588969.0,,32,41,26
08-2022,510183.0,804583.0,1314766,2875411.0,59.0,58,62,56
08-2023,616143.0,878037.0,1494180,2434398.0,60.0,72,69,70
08-2024,829406.0,987216.0,1816622,2584334.0,62.0,77,83,85
09-2010,393909.0,276371.0,670280,,,42,57,28
09-2011,393646.0,289568.0,683214,1552365.0,,36,50,26
09-2012,408814.0,285529.0,694343,1722651.0,46.0,37,47,27
09-2013,444438.0,301238.0,745676,1836892.0,50.0,51,52,27
09-2014,431151.0,326470.0,757621,1804323.0,,49,55,31
09-2015,434775.0,393836.0,828611,1614269.0,42.0,47,52,34
09-2016,409430.0,402233.0,811663,1716948.0,42.0,53,57,36
09-2017,467511.0,309671.0,777182,1965359.0,46.0,58,64,40
09-2018,523395.0,316264.0,839659,2142246.0,50.0,67,62,46
09-2019,535809.0,347983.0,883792,2241340.0,,69,80,54
09-2021,142806.0,195222.0,338028,1068654.0,,29,33,26
09-2022,475089.0,421665.0,896754,1974605.0,49.0,55,61,57
09-2023,500010.0,463775.0,963785,1634659.0,45.0,79,71,67
09-2024,699434.0,581667.0,1281101,2181983.0,55.0,84,78,87
10-2010,488256.0,252161.0,740417,,,38,61,29
10-2011,451442.0,294302.0,745744,1503095.0,,37,43,24
10-2012,465188.0,355935.0,821123,1533702.0,41.0,41,46,28
10-2013,500574.0,359073.0,859647,1695657.0,44.0,43,56,28
10-2014,483134.0,311458.0,794592,1703179.0,,38,52,31
10-2015,468856.0,267264.0,736120,1649545.0,43.0,55,48,36
10-2016,463026.0,286350.0,749376,1672041.0,41.0,52,58,36
10-2017,571957.0,288937.0,860894,2006106.0,48.0,58,68,44
10-2018,652600.0,297479.0,950079,2217975.0,50.0,65,65,48
10-2019,657350.0,314861.0,972211,2300918.0,,61,75,49
10-2021,248642.0,261324.0,509966,1007315.0,,37,35,29
10-2022,636775.0,481796.0,1118571,2100140.0,48.0,57,60,57
10-2023,651793.0,499229.0,1151022,2062500.0,51.0,60,65,58
10-2024,871449.0,627666.0,1499115,2362153.0,56.0,87,77,81
11-2010,372583.0,322419.0,695002,,,31,50,26
11-2011,340267.0,287262.0,627529,1084808.0,,34,38,26
11-2012,353943.0,214977.0,568920,1303983.0,38.0,36,44,27
11-2013,391344.0,230610.0,621954,1397315.0,41.0,44,50,29
11-2014,373381.0,239901.0,613282,1353341.0,,40,49,29
11-2015,346872.0,242645.0,589517,1309674.0,37.0,55,43,31
11-2016,386305.0,241550.0,627855,1560876.0,42.0,49,51,37
11-2017,469137.0,260837.0,729974,1764791.0,45.0,57,60,41
11-2018,557185.0,276296.0,833481,1823050.0,46.0,56,60,47
11-2019,518103.0,297242.0,815345,1948283.0,,56,71,51
11-2021,178544.0,204872.0,383416,933081.0,,28,40,27
11-2022,494013.0,403395.0,897408,1810930.0,46.0,53,55,61
11-2023,526626.0,450423.0,977049,1646854.0,46.0,55,57,65
11-2024,720467.0,559671.0,1280138,1991994.0,51.0,74,71,86
12-2010,391648.0,311463.0,703111,,,31,69,24
12-2011,389041.0,308694.0,697735,1116792.0,,32,38,24
12-2012,398075.0,309289.0,707364,1209277.0,34.0,36,43,26
12-2013,456865.0,333549.0,790414,1406493.0,39.0,43,49,27
12-2014,424087.0,335365.0,759452,1250239.0,,39,48,28
12-2015,402610.0,337548.0,740158,1229735.0,33.0,44,45,28
12-2016,460774.0,362426.0,823200,1474222.0,36.0,51,51,36
12-2017,530583.0,372019.0,902602,1589931.0,39.0,53,61,38
12-2018,570653.0,382029.0,952682,1718189.0,41.0,57,58,43
12-2019,574847.0,419377.0,994224,1767518.0,,55,78,50
12-2021,3718.0,9565.0,13283,559906.0,,24,24,17
12-2022,594992.0,558340.0,1153332,1755566.0,42.0,59,63,79
12-2023,636217.0,638475.0,1274692,1587377.0,42.0,61,68,67
12-2024,784192.0,753742.0,1537934,1950797.0,48.0,72,78,86
